habilidad,pendiente,intercepto,porcentaje_actual,porcentaje_predicho_futuro,tendencia
Python,2.075433537754111,18.079091960670915,54.54545454545454,42.98429441372025,Emergente / Crecimiento Rápido
React,1.9136754393931423,4.2144040170356,27.27272727272727,27.178509289753308,Emergente / Crecimiento Rápido
C#,1.0691939639308057,-2.335909704330755,27.27272727272727,10.494417862838914,Emergente / Crecimiento Rápido
Java,0.8542175527821461,0.09674535990325417,18.181818181818183,10.347355993289007,Emergente / Crecimiento Rápido
Agile,0.6101374701853167,5.723618486776384,0.0,13.045268129000185,Emergente / Crecimiento Rápido
Jira,0.5954910320939026,6.099704389178076,9.090909090909092,13.245596774304907,Emergente / Crecimiento Rápido
TypeScript,0.5478194054749077,1.4329091960670914,9.090909090909092,8.006742061765983,Emergente / Crecimiento Rápido
Spark,0.514157891550236,2.9246995694364117,9.090909090909092,9.094594268039243,Emergente / Crecimiento Rápido
R,0.4624711412988924,1.9926783742573226,9.090909090909092,7.542332069844031,Emergente / Crecimiento Rápido
SQL,0.4237767814322837,7.777120540278435,27.27272727272727,12.86244191746584,Emergente / Crecimiento Rápido
Azure,0.3793246227456752,4.264178803652488,9.090909090909092,8.81607427660059,Emergente / Crecimiento Rápido
Swift,0.3051563667592373,3.473273802221172,0.0,7.135150203332019,Emergente / Crecimiento Rápido
.NET,0.30403308812399715,6.325772181035339,18.181818181818183,9.974169238523306,Emergente / Crecimiento Rápido
Angular,0.2288351600552555,4.2065609828767725,0.0,6.952582903539838,Crecimiento Estable
Terraform,0.16976444608023536,4.330450251502884,0.0,6.367623604465709,Crecimiento Estable
Kotlin,0.14083006307886667,4.501361211887529,0.0,6.191321968833929,Crecimiento Estable
Power BI,0.08504155334298868,4.148475793212636,0.0,5.168974433328501,Crecimiento Estable
CSS,0.08219949906552763,3.7790060816376614,0.0,4.765400070423993,Crecimiento Estable
React Native,0.03383677725782985,2.3627176916650603,0.0,2.7687590187590185,Madura / Estable
Tableau,0.015472964037557322,5.966153729311624,9.090909090909092,6.151829297762312,Madura / Estable
Node.js,0.01438254727728404,8.823099415204679,0.0,8.995689982532086,Madura / Estable
JavaScript,-0.1329750791473279,19.592673408462883,18.181818181818183,17.996972458694948,Madura / Estable
Docker,-0.16031018423362933,16.907945855314278,27.27272727272727,14.984223644510726,Madura / Estable
Vue,-0.16641153901919453,5.419967459441144,0.0,3.42302899121081,Madura / Estable
Spring Boot,-0.18760844418739142,8.198840633051159,9.090909090909092,5.947539302802461,Madura / Estable
HTML,-0.21738130290761856,6.027634646055698,9.090909090909092,3.419059011164275,Madura / Estable
Flutter,-0.21901244688326024,5.026837197889829,0.0,2.3986878352907066,Madura / Estable
PostgreSQL,-0.24418962218005272,10.1954770375823,9.090909090909092,7.265201571421668,Madura / Estable
Windows Server,-0.25070224830990373,9.868172762909605,9.090909090909092,6.8597457831907604,Madura / Estable
Redes,-0.26787805495939465,10.164659901502008,9.090909090909092,6.950123241989272,Madura / Estable
Cisco,-0.40224528262805775,7.7185387711703495,0.0,2.8915953796336566,En Declive
Kubernetes,-0.44506330989584564,9.502558844664108,0.0,4.16179912591396,En Declive
Scrum,-0.7571634904170789,12.549044522728732,0.0,3.463082637723785,En Declive
Git,-0.8287018005917528,31.77184657447815,9.090909090909092,21.827424967377116,En Declive
Virtualización,-0.9839721681826944,11.036799457852089,0.0,0.0,En Declive
Linux,-1.0908260399887189,21.822979651927017,0.0,8.733067172062391,En Declive
AWS,-1.305590342671682,21.254140596245858,18.181818181818183,5.587056484185673,En Declive
Excel,-2.9287359371091415,41.658619158619146,9.090909090909092,6.51378791330945,En Declive
